week,Mean Repairs,SD Repairs,Num Dialogues,Mean Turns,SD Turns,Mean Words per Turn
1,1.53,1.92,117,43.49,26.97,21.37
2,1.39,1.57,115,43.05,20.56,21.47
3,1.34,1.77,122,37.85,18.98,22.38
4,0.76,1.05,111,35.35,18.35,27.8
