,Value
Mean Turns per Dialogue,39.96
Median Turns per Dialogue,35.0
SD Turns per Dialogue,21.71
Min Turns,0.0
Max Turns,152.0
Mean Words per Turn,23.19
Mean Learner Words per Turn,14.83
Mean Bot Words per Turn,31.0
